"date","FXPO.L.Open","FXPO.L.High","FXPO.L.Low","FXPO.L.Close","FXPO.L.Volume","FXPO.L.Adjusted"
2007-06-15,143,150,140,150.5,31081788,121.722458
2007-06-18,153,159.25,153,157.5,6808143,127.384003
2007-06-19,160,174,159,171.5,4931435,138.707001
2007-06-20,174,205,174,185,13616191,149.625656
2007-06-21,187,202,183,195,5087942,157.713501
2007-06-22,200,215,200,213.5,6760602,172.676056
2007-06-25,215,218,208,208,5800188,168.227753
2007-06-26,207,210.600006,185,193,1599790,156.095947
2007-06-27,188,188,167,172,2045736,139.111404
2007-06-28,170,185,168,180,1432010,145.581726
2007-06-29,181,192.75,179.75,185,3198239,149.625656
2007-07-02,178,185,178,183,135153,148.008102
2007-07-03,185,189,183,185.25,265942,149.82782
2007-07-04,185,190,185,188,289569,152.051987
2007-07-05,186,193,183,185,1640449,149.625656
2007-07-06,189,190,183,190,26804,153.669571
2007-07-09,185,199,185,191,97679,154.478394
2007-07-10,195,196.5,187,189.5,474637,153.265182
2007-07-11,189.5,190,174,187.75,52960,151.849808
2007-07-12,187,188,184,185.5,259883,150.030045
2007-07-13,186,187,180,185,167558,149.625656
2007-07-16,185,185,183,184.5,65962,149.221237
2007-07-17,184,186.800003,182,184,41676,148.816849
2007-07-18,184,187,183.399994,185.5,240671,150.030045
2007-07-19,184,187,184,185.25,704183,149.82782
2007-07-20,187,195,185.800003,189.75,663696,153.467377
2007-07-23,190,193,187,188.5,3123523,152.456375
2007-07-24,190,195,188,189,5432055,152.860794
2007-07-25,192,192,187,188.5,78909,152.456375
2007-07-26,190,192,182.100006,188.5,141095,152.456375
2007-07-27,186,188,182.100006,186,332865,150.434418
2007-07-30,189,192,189,191.75,61800,155.084946
2007-07-31,190,191.25,185.75,191.25,164033,154.680588
2007-08-01,186,190,185,185,174132,149.625656
2007-08-02,186.5,189,179,179,116539,144.772888
2007-08-03,183,183,177,180,1636231,145.581726
2007-08-06,181,183,180,183,8657,148.008102
2007-08-07,183,183,181.75,183.5,13321,148.412476
2007-08-08,184,185.199997,182,184.25,84749,149.019043
2007-08-09,185.25,202,185.25,197,2589612,159.331085
2007-08-10,193,193,190,192,1612847,155.287155
2007-08-13,193,193,190,191.25,0,154.680588
2007-08-14,190,193,190,191.5,1340408,154.882751
2007-08-15,193,193,185,191,268687,154.478394
2007-08-16,185,189.600006,180,187,867731,151.24321
2007-08-17,185,187,175,182.5,2832805,147.603638
2007-08-20,184.75,185,180,184.5,256942,149.221237
2007-08-21,180,187,179,181,708240,146.390503
2007-08-22,185,193,183,193,21696,156.095947
2007-08-23,193,197,183.5,189.75,17904,153.467377
2007-08-24,193,193,183.300003,190.5,20955,154.073944
2007-08-28,190.5,190.5,186.5,186,17740,150.434418
2007-08-29,185,190,185,188,72169,152.051987
2007-08-30,187,190,187,189.5,46155,153.265182
2007-08-31,192,192,188.100006,189,13496,152.860794
2007-09-03,192,193,186,189.5,92497,153.265182
2007-09-04,186,190,186,188,0,152.051987
2007-09-05,190,201.100006,188,199.5,1072344,161.353058
2007-09-06,197.25,216.75,194,215,10412225,173.889252
2007-09-07,210,220,210,219,418772,177.12442
2007-09-10,212,219,212,219,362380,177.12442
2007-09-11,225,239.75,220,225,407688,181.977127
2007-09-12,229.5,236.5,227.5,235,373587,190.064987
2007-09-13,235,252,231.100006,252,416408,203.814377
2007-09-14,260,260,244.100006,256,1022609,207.049515
2007-09-17,258,258,245,245,1310436,198.152847
2007-09-18,248,251,245,250,293791,202.196808
2007-09-19,250,262.5,250,259.5,1994474,209.880264
2007-09-20,260,260,254,254.75,4740962,206.038528
2007-09-21,255,255,243,252,7251746,203.814377
2007-09-24,251.75,255,251,253,793144,204.623184
2007-09-25,252.25,256,252.25,254,5052264,205.431976
2007-09-26,257.75,257.75,250,254.75,489540,206.038528
2007-09-27,258,277,254,254,6136772,205.431976
2007-09-28,258.25,266,258,260,16482126,210.284683
2007-10-01,257.5,263,251.899994,254.25,16292804,205.634155
2007-10-02,260,279,260,261,3786068,211.093475
2007-10-03,262,262,256.75,257.25,1333073,208.060501
2007-10-04,254,256,226.75,251,7856212,203.005585
2007-10-05,250,259.200012,241.75,248.5,1823867,200.983643
2007-10-08,251,252.5,247.600006,249.25,482959,201.590225
2007-10-09,246.5,261,245,247.75,1792018,200.377014
2007-10-10,250.5,250.5,245,247,1065599,199.770432
2007-10-11,247.75,250.5,245,249,4768803,201.388
2007-10-12,248,250,245,250,3559238,202.196808
2007-10-15,250.75,253,245,246,601152,198.961685
2007-10-16,245,250,245,248.75,192099,201.185822
2007-10-17,247,250,247,249.5,1652268,201.792419
2007-10-18,250,250.5,245.25,250.5,192989,202.601212
2007-10-19,244.75,245.75,244,245,172184,198.152847
2007-10-22,239.75,259.200012,239.75,245,3028552,198.152847
2007-10-23,243.5,248,243.5,247,176675,199.770432
2007-10-24,244,248.75,244,245.75,353238,198.759445
2007-10-25,249.75,252,246.25,251,745508,203.005585
2007-10-26,253,255,248.25,250,547056,202.196808
2007-10-29,253,256.5,250.25,252,2236773,203.814377
2007-10-30,250.25,255,249,251,916151,203.005585
2007-10-31,252,252,247.75,248,87953,200.579208
2007-11-01,248,252,239.25,243.75,194794,197.141876
2007-11-02,240,241.75,237,241.75,354311,195.524307
2007-11-05,238,248,238,245,170479,198.152847
2007-11-06,243,248.75,240.5,248.75,824819,201.185822
2007-11-07,249,250,243,243.25,98531,196.737488
2007-11-08,241,251,241,249,11615031,201.388
2007-11-09,249.75,250.25,246,247,1305890,199.770432
2007-11-12,243,251.75,243,247,2563368,199.770432
2007-11-13,250,250,240,247,299998,199.770432
2007-11-14,250,251,246.800003,248.75,640807,201.185822
2007-11-15,250.75,250.75,243,244,438242,197.344086
2007-11-16,241.75,247.75,230,235,83796,190.064987
2007-11-19,230,239,204,205,773458,165.801361
2007-11-20,208.75,209,198,206.25,941684,166.812363
2007-11-21,206.25,209.25,201,203.5,519399,164.588211
2007-11-22,206.5,230,203.5,224,5394734,181.168304
2007-11-23,227,244,224.75,242.25,388563,195.928711
2007-11-26,245.75,250.5,240.25,246.25,1423523,199.163879
2007-11-27,246.25,246.25,240,244.5,210793,197.748459
2007-11-28,246.5,246.5,237,240,249017,194.108963
2007-11-29,238.75,243.600006,237,238.75,475509,193.097977
2007-11-30,241.75,254,239.5,240,910692,194.108963
2007-12-03,240.5,247.5,240.5,242,1059117,195.726501
2007-12-04,242,246,231.25,238.25,290375,192.693588
2007-12-05,241.75,242.75,235,238.75,7392345,193.097977
2007-12-06,240.75,247,239.5,241,934044,194.917709
2007-12-07,245.75,254,240.25,246.25,1062664,199.163879
2007-12-10,245,246.75,235.75,240.5,332405,194.513321
2007-12-11,237.75,240,232.5,239.25,297458,193.50235
2007-12-12,233.75,239,229,232.5,527601,188.04303
2007-12-13,231.5,235,217.25,226.75,654590,183.392502
2007-12-14,229,231.75,223.75,228.5,212978,184.807861
2007-12-17,225,225,210.5,219,319421,177.12442
2007-12-18,215,217.25,212.25,215,192030,173.889252
2007-12-19,218,224.75,215,222.75,1328780,180.157349
2007-12-20,224.75,229,224.5,228.75,244081,185.010056
2007-12-21,231.25,231.25,226,230,581727,186.021057
2007-12-24,231,234.75,227,230,77513,186.021057
2007-12-27,226.25,231.25,222,224.75,630233,181.774902
2007-12-28,222.25,228.25,222.25,224,61031,181.168304
2007-12-31,224,230.25,224,230.25,4321946,186.223251
2008-01-02,226.25,241.5,226.25,238.5,336861,192.895737
