"date","KAZ.L.Open","KAZ.L.High","KAZ.L.Low","KAZ.L.Close","KAZ.L.Volume","KAZ.L.Adjusted"
2007-01-02,1129,1129,1112,1124,1755225,1028.13623
2007-01-03,1107,1123,1053,1087,5454558,994.291931
2007-01-04,1075,1075,1032,1040,3391895,951.300354
2007-01-05,1035,1042,1016,1017,3710451,930.262085
2007-01-08,1012,1032,1009,1025,3532391,937.579834
2007-01-09,1030,1036,998,1008,3870514,922.029724
2007-01-10,997,1026,997,1013,2183780,926.60321
2007-01-11,1028,1057,1018,1053,2845269,963.191711
2007-01-12,1053,1069,1043,1050,2072932,960.44751
2007-01-15,1047,1064,1040,1042,1111576,953.129761
2007-01-16,1040,1043,1011,1014,2847991,927.517883
2007-01-17,1014,1026,1000,1020,2426968,933.006226
2007-01-18,1026,1026,1026,1026,2361233,938.494385
2007-01-19,1007,1046,1007,1043,3212172,954.044495
2007-01-22,1046,1070,1044,1052,4433180,962.276978
2007-01-23,1055,1071,1043,1068,2034141,976.912415
2007-01-24,1081,1127,1081,1119,5628155,1023.562805
2007-01-25,1121,1131,1103,1107,2545412,1012.586304
2007-01-26,1107,1107,1075,1076,3019343,984.230042
2007-01-29,1076,1091,1050,1050,3388660,960.44751
2007-01-30,1035,1050,1010,1040,6495963,951.300354
2007-01-31,1035,1061,1034,1047,2208416,957.703369
2007-02-01,1047,1080,1047,1066,3120974,975.083008
2007-02-02,1076,1083,1047,1064,4785793,973.253601
2007-02-05,1055,1071,1052,1061,2182888,970.509338
2007-02-06,1071,1076,1051,1061,2448781,970.509338
2007-02-07,1061,1086,1057,1083,1705433,990.633179
2007-02-08,1088,1088,1063,1068,1430610,976.912415
2007-02-09,1068,1085,1061,1080,1863206,987.888977
2007-02-12,1078,1079,1062,1068,2878180,976.912415
2007-02-13,1062,1091,1062,1085,2327397,992.462646
2007-02-14,1091,1108,1086,1097,4002553,1003.439026
2007-02-15,1097,1110,1080,1103,4688641,1008.927307
2007-02-16,1100,1109,1081,1099,4149744,1005.268372
2007-02-19,1107,1131,1106,1126,3317744,1029.965698
2007-02-20,1134,1148,1105,1115,2667722,1019.90387
2007-02-21,1111,1130,1107,1125,3766072,1029.051147
2007-02-22,1144,1184,1138,1165,6439467,1065.639648
2007-02-23,1165,1183,1161,1173,2503097,1072.957275
2007-02-26,1184,1210,1184,1195,3781793,1093.080811
2007-02-27,1195,1195,1103,1136,4489093,1039.112671
2007-02-28,1095,1135,1082,1101,6223982,1007.097961
2007-03-01,1092,1126,1055,1077,2995872,985.144775
2007-03-02,1087,1105,1058,1086,2184251,993.377075
2007-03-05,1060,1074,1034,1061,3496312,970.509338
2007-03-06,1062,1088,1062,1080,2032085,987.888977
2007-03-07,1099,1099,1081,1092,1513180,998.865601
2007-03-08,1090,1147,1090,1124,3561082,1028.13623
2007-03-09,1123,1141,1110,1121,1820895,1025.392212
2007-03-12,1126,1140,1117,1133,1372403,1036.368774
2007-03-13,1160,1160,1117,1122,1921663,1026.306885
2007-03-14,1091,1101,1078,1089,2646690,996.121399
2007-03-15,1115,1128,1064,1126,5847156,1029.965698
2007-03-16,1143,1143,1105,1106,3497665,1011.671509
2007-03-19,1132,1137,1110,1127,2048688,1030.880249
2007-03-20,1127,1138,1099,1118,4665954,1022.64801
2007-03-21,1120,1148,1111,1134,5086554,1037.283325
2007-03-22,1165,1169,1145,1149,4334971,1051.004272
2007-03-23,1165,1180,1161,1164,4495946,1064.724854
2007-03-26,1170,1175,1141,1153,3635194,1054.662964
2007-03-27,1186,1186,1149,1153,2704347,1054.662964
2007-03-28,1135,1153,1130,1137,2433011,1040.027588
2007-03-29,1135,1156,1135,1150,2501158,1051.918701
2007-03-30,1157,1177,1142,1171,2013708,1071.12793
2007-04-02,1166,1176,1150,1155,1378383,1056.492432
2007-04-03,1173,1200,1173,1196,3005125,1093.995361
2007-04-04,1200,1213,1175,1205,2864306,1102.228027
2007-04-05,1211,1211,1191,1200,2088319,1097.654419
2007-04-10,1200,1246,1200,1220,3217992,1115.948486
2007-04-11,1195,1204,1166,1174,54431860,1085.518799
2007-04-12,1165,1185,1165,1179,2901785,1090.141968
2007-04-13,1189,1189,1172,1188,1378789,1098.463745
2007-04-16,1201,1205,1188,1192,4373877,1102.162354
2007-04-17,1192,1192,1168,1185,3004903,1095.689941
2007-04-18,1194,1194,1162,1168,4924320,1079.971069
2007-04-19,1150,1157,1127,1151,3536972,1064.252197
2007-04-20,1158,1188,1155,1175,3838156,1086.443604
2007-04-23,1180,1189,1160,1167,1010181,1079.046509
2007-04-24,1162,1179,1155,1161,2427033,1073.498657
2007-04-25,1173,1173,1155,1168,3612470,1079.971069
2007-04-26,1180,1190,1156,1162,3017783,1074.42334
2007-04-27,1158,1164,1130,1139,3428094,1053.156738
2007-04-30,1144,1156,1140,1148,1175262,1061.478394
2007-05-01,1145,1145,1121,1141,1083743,1055.005981
2007-05-02,1153,1163,1144,1154,2535590,1067.026367
2007-05-03,1160,1176,1153,1169,6086324,1080.895874
2007-05-04,1173,1205,1173,1195,7382134,1104.936157
2007-05-08,1195,1215,1173,1178,4151691,1089.217407
2007-05-09,1213,1249,1186,1201,5001548,1110.484131
2007-05-10,1195,1211,1164,1168,4033521,1079.971069
2007-05-11,1150,1195,1142,1190,3161029,1100.313232
2007-05-14,1190,1198,1160,1164,3446251,1076.272583
2007-05-15,1188,1188,1157,1185,3382964,1095.689941
2007-05-16,1190,1198,1171,1190,4033085,1100.313232
2007-05-17,1185,1191,1168,1178,4928485,1089.217407
2007-05-18,1166,1213,1166,1197,10003811,1106.785522
2007-05-21,1212,1237,1193,1236,5806744,1142.846191
2007-05-22,1223,1243,1217,1232,7867902,1139.147583
2007-05-23,1244,1256,1238,1245,4415667,1151.167969
2007-05-24,1241,1244,1222,1227,7258119,1134.524536
2007-05-25,1226,1233,1215,1225,3616791,1132.675293
2007-05-29,1225,1261,1225,1243,3304745,1149.318481
2007-05-30,1231,1263,1231,1259,4787401,1164.112671
2007-05-31,1282,1304,1270,1298,6235777,1200.17334
2007-06-01,1300,1318,1284,1312,2322255,1213.118164
2007-06-04,1308,1316,1293,1300,3101998,1202.022583
2007-06-05,1315,1331,1297,1315,3377908,1215.89209
2007-06-06,1300,1314,1284,1291,6445597,1193.70105
2007-06-07,1308,1311,1242,1260,4003324,1165.037476
2007-06-08,1254,1264,1229,1243,3458129,1149.318481
2007-06-11,1243,1265,1243,1250,2437243,1155.791016
2007-06-12,1250,1260,1233,1249,1950872,1154.866577
2007-06-13,1232,1285,1230,1270,6037844,1174.283813
2007-06-14,1282,1307,1268,1297,2028884,1199.248779
2007-06-15,1304,1323,1290,1311,2099197,1212.193481
2007-06-18,1311,1329,1295,1301,1146103,1202.947266
2007-06-19,1310,1324,1286,1287,2255211,1190.002319
2007-06-20,1300,1327,1296,1309,3236218,1210.34436
2007-06-21,1301,1311,1279,1295,1866216,1197.399292
2007-06-22,1305,1305,1276,1282,1600103,1185.379272
2007-06-25,1269,1276,1248,1269,1636334,1173.359009
2007-06-26,1266,1289,1248,1277,1702428,1180.756104
2007-06-27,1257,1269,1222,1240,1825074,1146.544678
2007-06-28,1259,1261,1240,1255,2403535,1160.414185
2007-06-29,1265,1272,1234,1265,1543657,1169.660645
2007-07-02,1257,1288,1247,1281,1686211,1184.45459
2007-07-03,1290,1311,1280,1295,1947075,1197.399292
2007-07-04,1340,1340,1295,1296,1639605,1198.324219
2007-07-05,1303,1324,1278,1281,2436472,1184.45459
2007-07-06,1288,1310,1280,1305,2329714,1206.645874
